Site,Latitude,Longitude,Material,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age,14C st dev
Barnstable,41.730,70.300,Salt peat,,2451-1905,-3.83,1.12,Stuiver et al. (1963),3,2200,100
Centerville,41.633,70.333,Spartina peat,,2116-1064,-1.73,0.56,Redfield and Rubin (1962),2,1640,240
Barnstable,41.700,70.317,Spartina peat,,476-0,-0.12,1.34,Redfield and Rubin (1962),2,190,150
Barnstable,41.700,70.360,Spartina peat,,915-555,-0.33,1.34,Redfield and Rubin (1962),2,770,100
Barnstable,41.700,70.360,Spartina peat,,642-0,-0.03,1.34,Redfield and Rubin (1962),2,400,100
Barnstable,41.700,70.360,Spartina peat,,2044-1560,-4.74,1.34,Redfield and Rubin (1962),2,1880,100
Barnstable,41.710,70.370,Spartina peat,,1568-488,-0.91,1.34,Redfield and Rubin (1962),2,1040,300
Barnstable,41.710,70.370,Spartina peat,,2684-1174,-1.83,1.34,Redfield and Rubin (1962),2,1850,300
Barnstable,41.710,70.370,Spartina peat,,2951-1539,-2.83,1.34,Redfield and Rubin (1962),2,2240,300
Barnstable,41.710,70.370,Spartina peat,,4057-2469,-5.12,1.34,Redfield and Rubin (1962),2,3060,300
Barnstable,41.730,70.320,Salt peat,,784-540,-1.63,1.12,Stuiver et al. (1963),3,710,80
Barnstable,41.730,70.300,Salt peat,,480-0,-0.56,1.12,Stuiver et al. (1963),3,240,80
Barnstable,41.730,70.320,Salt peat,,1231-743,-2.03,1.12,Stuiver et al. (1963),3,1060,100
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Nantucket Sound,41.550,70.467,Mercenaria,0,3838-3394,-10.43,0.71,Gutierrez et al. (2003),4,3790,70
Nantucket Sound,41.550,70.467,Mercenaria,0,3683-3203,-10.63,0.71,Gutierrez et al. (2003),4,3640,90
Marthas Vineyard,41.300,71.000,C. vir,,10561-9405,-37.42,3.15,Oldale and O'Hara (1980),4,9300,250
Marthas Vineyard,41.408,70.739,Mercenaria,,9726-8452,-27.65,0.75,Oldale and O'Hara (1980),4,7570,250
Marthas Vineyard,41.317,70.922,shell hash,,5841-4867,-34.38,0.78,Oldale and O'Hara (1980),3,5150,200
Marthas Vineyard,41.368,70.867,shell hash,,5722-3260,-26.75,0.75,Oldale and O'Hara (1980),3,4470,500
Marthas Vineyard,41.443,70.722,shell hash,,3758-3318,-15.11,0.71,Oldale and O'Hara (1980),3,3710,80
Marthas Vineyard,41.443,70.722,shell hash,,3597-3069,-14.61,0.71,Oldale and O'Hara (1980),3,3560,95
Marthas Vineyard,41.243,70.927,Mercenaria,,1222-484,-32.17,0.77,Oldale and O'Hara (1980),4,1340,200
Marthas Vineyard,41.302,70.992,C. vir,,11167-9901,-33.77,0.77,Oldale and O'Hara (1980),4,9740,250
Marthas Vineyard,41.317,70.992,C. vir,,11201-9681,-35.78,0.78,Oldale and O'Hara (1980),4,9710,300
Marthas Vineyard,41.303,70.992,C. vir,,11623-8895,-33.07,0.77,Oldale and O'Hara (1980),4,9470,500
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Centerville,41.633,70.333,Fresh peat,,6955-5607,-3.74,0.53,Emery et al. (1967),3,5500,300
Falmouth,41.550,70.633,Fresh peat,,3975-3401,-4.74,0.53,Emery et al. (1967),3,3420,120
Barnstable (Brewster),41.817,70.085,Fresh peat,,6174-4572,-8.52,3.14,Field et al. (1979),3,4700,300
Nantucket Sound,41.583,70.383,plant fragments,-27.4,5468-5054,-8.12,0.70,Gutierrez et al. (2003),3,4600,50
Nantucket Sound,41.583,70.400,Undiff peat,-26.8,4961-4727,-8.02,0.70,Gutierrez et al. (2003),3,4280,35
Nauset Bay,41.840,69.970,Undiff peat,,2705-2059,-2.39,0.57,Redfield (1967),3,2300,105
Nauset Bay,41.840,69.970,Undiff peat,,3975-3475,-4.46,0.57,Redfield (1967),3,3460,100
Barnstable,41.730,70.380,Oak wood,,6395-4629,-4.85,0.54,Redfield and Rubin (1962),2,4860,350
Barnstable,41.700,70.317,Fresh peat,,736-0,1.46,0.53,Redfield and Rubin (1962),3,500,150
Barnstable,41.730,70.380,Fresh peat,,4230-2622,-3.11,0.22,Redfield and Rubin (1962),3,3150,300
Centerville,41.633,70.333,chaemocypris log,,2707-1633,-2.00,0.26,Redfield and Rubin (1962),2,2130,200
Centerville,41.633,70.333,Fresh peat,,2703-1421,-1.10,0.53,Redfield and Rubin (1962),3,2040,240
Marthas Vineyard,41.450,70.937,Fresh peat,,9895-8417,-20.07,0.73,Oldale and O'Hara (1980),3,8230,300
Marthas Vineyard,41.482,70.860,Fresh peat,,9028-7880,-16.28,0.72,Oldale and O'Hara (1980),3,7600,250
,,,,,,,,,,,
Connecticut,,,,,,,,,,,
Index Points,,,,,,,,,,,
Guildford,41.278,72.650,Sp,-10,1175-795,-1.61,0.63,Nydick et al. (1995),2,1070,80
Hammock River,41.266,72.515,Sp/Ds,,1812-1422,-1.86,0.51,van de Plassche (1991),2,1710,60
Barn Island,41.332,71.864,Sp/Jg,,434-0,-0.52,0.31,Donnelly et al. (2004a),2,265,30
Barn Island,41.332,71.864,Sp/Jg,,256-0,-0.57,0.31,Donnelly et al. (2004a),2,15,40
Barn Island,41.332,71.864,Sp/Jg,,428-0,-0.63,0.31,Donnelly et al. (2004a),2,240,35
Barn Island,41.332,71.864,Sp/Jg,,476-292,-0.73,0.31,Donnelly et al. (2004a),2,305,40
Barn Island,41.332,71.864,Sp,,479-307,-0.82,0.31,Donnelly et al. (2004a),2,330,35
Barn Island,41.332,71.864,Sp,,643-509,-0.91,0.31,Donnelly et al. (2004a),2,540,40
Barn Island,41.332,71.864,Sp,,622-466,-0.94,0.31,Donnelly et al. (2004a),2,475,40
Barn Island,41.332,71.864,Sp,,650-524,-1.03,0.31,Donnelly et al. (2004a),2,570,35
Branford,41.261,72.849,Ds,-18.1,3381-3221,-3.92,0.45,van de Plassche et al. (2002),2,3092,31
Branford,41.250,72.860,Ds,-14.2,3018-2796,-3.08,0.45,van de Plassche et al. (2002),2,2814,34
